Time,PERIOD,Sales_Decomp,Sales,Actual_forecast
1,W 2015 01,,597.657339489714,
2,W 2015 02,,582.208947865101,
3,W 2015 03,,592.230085530553,
4,W 2015 04,,524.531695138109,
5,W 2015 05,,483.696689327162,
6,W 2015 06,,610.782191496877,
7,W 2015 07,,515.934049166309,
8,W 2015 08,,558.900990328819,
9,W 2015 09,,518.60221058074,
10,W 2015 10,,494.480083802643,
11,W 2015 11,,550.190507657206,
12,W 2015 12,,457.086031626919,
13,W 2015 13,,518.337369157579,
14,W 2015 14,,542.760613978524,
15,W 2015 15,,468.836916869872,
16,W 2015 16,,471.820052297528,
17,W 2015 17,,395.385332308462,
18,W 2015 18,,389.203697185072,
19,W 2015 19,,465.844318910645,
20,W 2015 20,,467.308563519683,
21,W 2015 21,,394.596894292447,
22,W 2015 22,,464.15031907158,
23,W 2015 23,,404.316927241708,
24,W 2015 24,,436.65934316252,
25,W 2015 25,,519.82095555314,
26,W 2015 26,,405.945561588847,
27,W 2015 27,,446.693407513544,
28,W 2015 28,,481.07331175189,
29,W 2015 29,,449.339284906736,
30,W 2015 30,,427.245603590405,
31,W 2015 31,,453.531290287488,
32,W 2015 32,,471.998651160824,
33,W 2015 33,,477.694573934581,
34,W 2015 34,,440.994790281446,
35,W 2015 35,,407.604459108921,
36,W 2015 36,,463.398819155929,
37,W 2015 37,,540.789657280875,
38,W 2015 38,,490.342400258189,
39,W 2015 39,,496.039467441058,
40,W 2015 40,,524.235718061155,
41,W 2015 41,,465.816696341068,
42,W 2015 42,,427.528742598579,
43,W 2015 43,,604.712189573502,
44,W 2015 44,,620.042977274578,
45,W 2015 45,,542.493773092857,
46,W 2015 46,,548.191676002987,
47,W 2015 47,,625.255692640872,
48,W 2015 48,,547.516200472329,
49,W 2015 49,,564.020554978405,
50,W 2015 50,,516.35784544148,
51,W 2015 51,,631.749188104835,
52,W 2015 52,,678.695260535168,
53,W 2016 01,,629.676475961208,
54,W 2016 02,,597.772031262259,
55,W 2016 03,,600.755290610257,
56,W 2016 04,,644.532139445872,
57,W 2016 05,,683.568033223716,
58,W 2016 06,,425.010273584804,
59,W 2016 07,,489.014964785204,
60,W 2016 08,,588.341500656644,
61,W 2016 09,,476.794289849312,
62,W 2016 10,,554.891189840017,
63,W 2016 11,,562.475317056408,
64,W 2016 12,,672.525977499698,
65,W 2016 13,,572.662568427946,
66,W 2016 14,,553.674127178177,
67,W 2016 15,,596.022124512284,
68,W 2016 16,,487.658539358806,
69,W 2016 17,,525.83690309321,
70,W 2016 18,,458.089379930293,
71,W 2016 19,,534.147252049398,
72,W 2016 20,,548.59914220042,
73,W 2016 21,,535.510923611641,
74,W 2016 22,,579.134673448826,
75,W 2016 23,,448.793037976465,
76,W 2016 24,,442.394411974319,
77,W 2016 25,,610.005084389949,
78,W 2016 26,,498.230839137182,
79,W 2016 27,,395.084441175356,
80,W 2016 28,,567.228985299997,
81,W 2016 29,,469.579209441903,
82,W 2016 30,,587.8808985162,
83,W 2016 31,,574.818281816772,
84,W 2016 32,,540.600322159253,
85,W 2016 33,,581.396890167267,
86,W 2016 34,,598.333487851177,
87,W 2016 35,,566.067155361125,
88,W 2016 36,,681.855306426368,
89,W 2016 37,,594.326421882554,
90,W 2016 38,,515.043166897901,
91,W 2016 39,,646.02039993616,
92,W 2016 40,,643.812951464806,
93,W 2016 41,,717.274059172146,
94,W 2016 42,,615.942903902323,
95,W 2016 43,,645.112424127498,
96,W 2016 44,,557.969691377589,
97,W 2016 45,,734.304318746827,
98,W 2016 46,,657.471261580951,
99,W 2016 47,,634.691634210431,
100,W 2016 48,,759.012511941981,
101,W 2016 49,,697.555501697174,
102,W 2016 50,,630.571031656555,
103,W 2016 51,,760.544799303683,
104,W 2016 52,,882.625577879598,
105,W 2017 01,,728.678492898498,
106,W 2017 02,,699.303215411911,
107,W 2017 03,,676.946065059386,
108,W 2017 04,,669.916334670646,
109,W 2017 05,,682.533582903368,
110,W 2017 06,,738.501711303468,
111,W 2017 07,,781.037563893782,
112,W 2017 08,,684.51940247136,
113,W 2017 09,,776.011943047839,
114,W 2017 10,,640.542037521695,
115,W 2017 11,,837.023646272864,
116,W 2017 12,,761.819672276273,
117,W 2017 13,,832.710658737684,
118,W 2017 14,,750.101049532101,
119,W 2017 15,,807.531971742031,
120,W 2017 16,,719.308595160805,
121,W 2017 17,,773.392473723831,
122,W 2017 18,,731.043237815766,
123,W 2017 19,,787.435153653574,
124,W 2017 20,,828.206318398533,
125,W 2017 21,,731.075649751579,
126,W 2017 22,,681.162451460395,
127,W 2017 23,,751.385375760305,
128,W 2017 24,,704.640776054851,
129,W 2017 25,,650.079406439481,
130,W 2017 26,,752.016156212624,
131,W 2017 27,,685.836259488876,
132,W 2017 28,,695.342094760357,
133,W 2017 29,,706.475654256053,
134,W 2017 30,,763.89701639596,
135,W 2017 31,,685.059211179974,
136,W 2017 32,,776.259997875326,
137,W 2017 33,,797.191724654389,
138,W 2017 34,,829.917530946289,
139,W 2017 35,,758.834758247043,
140,W 2017 36,,718.451821262541,
141,W 2017 37,,845.545855411219,
142,W 2017 38,,850.688838419359,
143,W 2017 39,,706.247137124181,
144,W 2017 40,,825.490712808178,
145,W 2017 41,,804.883909418727,
146,W 2017 42,,968.922639614518,
147,W 2017 43,,963.824882580968,
148,W 2017 44,,858.396851384813,
149,W 2017 45,,948.375780502873,
150,W 2017 46,,923.755927092442,
151,W 2017 47,,884.49797877989,
152,W 2017 48,,961.783624615078,
153,W 2017 49,,1023.09270629395,
154,W 2017 50,,991.185814138798,
155,W 2017 51,,1015.48068072206,
156,W 2017 52,,1225.52327347515,
157,W 2018 01,,1064.935658567,
158,W 2018 02,,1043.67277817967,
159,W 2018 03,,969.742316898234,
160,W 2018 04,,1072.6244081435,
161,W 2018 05,,991.989825516367,
162,W 2018 06,,1075.31244057793,
163,W 2018 07,,1053.35034051629,
164,W 2018 08,,957.505415244419,
165,W 2018 09,,1027.96481738263,
166,W 2018 10,,954.823143276115,
167,W 2018 11,,1018.27310901631,
168,W 2018 12,,963.541610683368,
169,W 2018 13,,1092.901454945,
170,W 2018 14,,957.849638274214,
171,W 2018 15,,1016.16572194893,
172,W 2018 16,,986.406734369952,
173,W 2018 17,,922.355524528915,
174,W 2018 18,,960.615450199056,
175,W 2018 19,,978.72764310726,
176,W 2018 20,,973.069623005842,
177,W 2018 21,,971.323957649738,
178,W 2018 22,,994.103777737964,
179,W 2018 23,,878.984687823217,
180,W 2018 24,,863.195262549534,
181,W 2018 25,,879.350406380763,
182,W 2018 26,,947.84204912319,
183,W 2018 27,,902.718668012881,
184,W 2018 28,,812.898050004024,
185,W 2018 29,,954.859051787179,
186,W 2018 30,,924.013709878376,
187,W 2018 31,,908.035475533797,
188,W 2018 32,,912.089886707844,
189,W 2018 33,,988.421489298714,
190,W 2018 34,,954.201951395385,
191,W 2018 35,,930.207229419556,
192,W 2018 36,,1073.97505466131,
193,W 2018 37,,1000.39246164232,
194,W 2018 38,,1042.53026812255,
195,W 2018 39,,1080.89097760176,
196,W 2018 40,,1114.70036291479,
197,W 2018 41,,1158.44953376623,
198,W 2018 42,,1119.02514534757,
199,W 2018 43,,1106.28930797742,
200,W 2018 44,,1042.85625413512,
201,W 2018 45,,1197.95573675207,
202,W 2018 46,,1260.06765994596,
203,W 2018 47,,1102.11882353012,
204,W 2018 48,,1178.08622999177,
205,W 2018 49,,1266.34135346818,
206,W 2018 50,,1268.03966577937,
207,W 2018 51,,1352.83132066622,
208,W 2018 52,,1575.14779603236,
209,W 2019 01,,1384.27415122877,
210,W 2019 02,,1197.05454298808,
211,W 2019 03,,1300.07625126914,
212,W 2019 04,,1299.37023018372,
213,W 2019 05,,1239.64015990609,
214,W 2019 06,,1223.17434203059,
215,W 2019 07,,1282.53859303607,
216,W 2019 08,,1256.63288050649,
217,W 2019 09,,1281.70749253139,
218,W 2019 10,,1158.55380607884,
219,W 2019 11,,1133.63338788982,
220,W 2019 12,,1314.80501041281,
221,W 2019 13,,1124.03065252831,
222,W 2019 14,,1268.60489062376,
223,W 2019 15,,1217.58109962738,
224,W 2019 16,,1216.42834388701,
225,W 2019 17,,1183.14143242711,
226,W 2019 18,,1187.14368921012,
227,W 2019 19,,1230.63321184835,
228,W 2019 20,,1231.93001850807,
229,W 2019 21,,1171.43277937662,
230,W 2019 22,,1185.6953334247,
231,W 2019 23,,1282.18271721012,
232,W 2019 24,,1151.20377959173,
233,W 2019 25,,1197.71514488688,
234,W 2019 26,,1156.51851419461,
235,W 2019 27,,1162.84716781948,
236,W 2019 28,,1090.53881017012,
237,W 2019 29,,1037.94355191523,
238,W 2019 30,,1099.3207528151,
239,W 2019 31,,1151.97186376404,
240,W 2019 32,,1160.47327567742,
241,W 2019 33,,1155.4461763496,
242,W 2019 34,,1148.72560442686,
243,W 2019 35,,1215.41194903472,
244,W 2019 36,,1224.05370640763,
245,W 2019 37,,1267.09840750349,
246,W 2019 38,,1295.23686971021,
247,W 2019 39,,1277.0630917625,
248,W 2019 40,,1232.03026942519,
249,W 2019 41,,1350.18005160875,
250,W 2019 42,,1313.44412328308,
251,W 2019 43,,1471.45551373531,
252,W 2019 44,,1313.60058236399,
253,W 2019 45,,1345.21907612562,
254,W 2019 46,,1346.63362173683,
255,W 2019 47,,1380.7372906687,
256,W 2019 48,,1457.29502911964,
257,W 2019 49,,1429.73866912647,
258,W 2019 50,,1473.94572972259,
259,W 2019 51,,1565.18855903901,
260,W 2019 52,,1882.33855798039,
261,W 2020 01,,1536.77375097681,
262,W 2020 02,,1442.00039512037,
263,W 2020 03,,1497.84303234498,
264,W 2020 04,,1362.40978540984,
265,W 2020 05,,1453.12510502247,
266,W 2020 06,,1526.82147660031,
267,W 2020 07,,1482.14596110614,
268,W 2020 08,,1440.11376575614,
269,W 2020 09,,1449.59899204477,
270,W 2020 10,,1444.41189629063,
271,W 2020 11,,1387.47762175301,
272,W 2020 12,,1427.64871476548,
273,W 2020 13,,1433.95404393463,
274,W 2020 14,,1361.72480467411,
275,W 2020 15,,1295.62116616771,
276,W 2020 16,,1402.6513503744,
277,W 2020 17,,1278.5589351633,
278,W 2020 18,,1425.4723460649,
279,W 2020 19,,1338.20046300494,
280,W 2020 20,,1276.78113303246,
281,W 2020 21,,1281.36943714851,
282,W 2020 22,,1293.53934071869,
283,W 2020 23,,1348.82680359976,
284,W 2020 24,,1206.77970420391,
285,W 2020 25,,1217.07169284935,
286,W 2020 26,,1197.16477372978,
287,W 2020 27,1380.57993807588,1212.63388959459,
288,W 2020 28,1392.40033523676,1167.91714352073,
289,W 2020 29,1387.72722872007,1233.04313879369,
290,W 2020 30,1425.70456399057,1215.34236065029,
291,W 2020 31,1420.93764223031,1159.96840095952,
292,W 2020 32,1439.4089953126,1242.09746861332,
293,W 2020 33,1468.03001600784,1243.72974953605,
294,W 2020 34,1463.37563864746,1225.78733600343,
295,W 2020 35,1445.57371861346,1371.5501561342,
296,W 2020 36,1503.16977317002,1401.51050989026,
297,W 2020 37,1521.50649149234,1422.52884766195,
298,W 2020 38,1511.65626242793,1331.99544953296,
299,W 2020 39,1515.00009087179,1424.77418229117,
300,W 2020 40,1542.95180557327,1374.88534315244,
301,W 2020 41,1575.53781596036,1442.87842706212,
302,W 2020 42,1566.29205374838,1452.66265150992,
303,W 2020 43,1636.59042354711,1424.65727856923,
304,W 2020 44,1557.67250527471,1465.28179906378,
305,W 2020 45,1633.57560961749,1507.0517331801,
306,W 2020 46,1628.37079040795,1488.22365663767,
307,W 2020 47,1607.81825648419,1516.39602577672,
308,W 2020 48,1664.26759306875,1502.60668396069,
309,W 2020 49,1680.73643500738,1529.9955754398,
310,W 2020 50,1661.77635994053,1568.5037997651,
311,W 2020 51,1752.55824525128,1680.04681968801,
312,W 2020 52,1937.86562604017,1913.12395409395,
313,W 2021 01,1758.89661918904,,1762.46389084384
314,W 2021 02,1687.21960814333,,1559.47654260531
315,W 2021 03,1701.52754874516,,1531.84448924174
316,W 2021 04,1703.22676187334,,1520.12971012687
317,W 2021 05,1704.77733830169,,1605.55867037562
318,W 2021 06,1693.5544719137,,1515.39551061287
319,W 2021 07,1714.47772220544,,1466.25401314423
320,W 2021 08,1683.32438773886,,1495.49089470834
321,W 2021 09,1700.97826190037,,1480.89292651861
322,W 2021 10,1649.57328513833,,1451.51704383069
323,W 2021 11,1687.22969197809,,1547.82387024791
324,W 2021 12,1728.2309751389,,1323.49723871568
325,W 2021 13,1712.03398014846,,1385.48709124317
326,W 2021 14,1679.77503180525,,1444.73846414082
327,W 2021 15,1688.4776352945,,1524.66563377216
328,W 2021 16,1664.55747317142,,1350.07364404525
329,W 2021 17,1639.19950376283,,1401.25563881527
330,W 2021 18,1655.83691214453,,1403.10844266358
331,W 2021 19,1677.73637608298,,1396.57027889054
332,W 2021 20,1675.98612369287,,1363.3977295732
333,W 2021 21,1642.91385922909,,1260.09832015284
334,W 2021 22,1651.97189947792,,1334.20330905468
335,W 2021 23,1647.60887013187,,1279.58165017886
336,W 2021 24,1579.36004893464,,1348.19032291095
337,W 2021 25,1616.54621273723,,1305.67750788777
338,W 2021 26,1615.6903921863,,1168.3873010732
339,W 2021 27,1601.32604971407,,1239.53502221146
340,W 2021 28,1612.67079139589,,1257.44553053571
341,W 2021 29,1607.52280128635,,1223.42175055944
342,W 2021 30,1645.02609796159,,1293.14589349988
343,W 2021 31,1639.7860550807,,1161.47929487369
344,W 2021 32,1657.78527613226,,1276.49549908365
345,W 2021 33,1685.93522473303,,1341.49501565855
346,W 2021 34,1680.81090532541,,1314.39653443158
347,W 2021 35,1662.54024247727,,1400.54011460314
348,W 2021 36,1719.66882172923,,1339.79530050616
349,W 2021 37,1737.53939969282,,1392.3505589992
350,W 2021 38,1727.22443168138,,1337.35411544331
351,W 2021 39,1730.10498805333,,1398.73245751109
352,W 2021 40,1757.59496205788,,1345.46125253062
353,W 2021 41,1789.72082661476,,1396.29168706339
354,W 2021 42,1780.01657588025,,1470.30602697628
355,W 2021 43,1849.8581758431,,1371.88208673386
356,W 2021 44,1770.48526672835,,1449.87188402224
357,W 2021 45,1845.93521844745,,1491.69067401301
358,W 2021 46,1840.27914296399,,1496.47917418952
359,W 2021 47,1819.27730610314,,1439.16312820626
360,W 2021 48,1875.27934894078,,1435.28597935487
361,W 2021 49,1891.30296106729,,1512.89981158009
362,W 2021 50,1871.89977373752,,1472.47097557065
363,W 2021 51,1962.24071673658,,1596.32750051232
364,W 2021 52,2147.10937641595,,1990.13565698123
